Datum	Zeit	Log.Rho.1	Log.Rho.2	Log.Rho.3	Log.Rho.4	Log.Rho.5	Log.Rho.6	Rho.1	Rho.2	Rho.3	Rho.4	Rho.5	Rho.6	Rho.Phase.1	Rho.Phase.2	Rho.Phase.3	Rho.Phase.4	Rho.Phase.5	Rho.Phase.6	Gamma	GGA..East.or.West.	GGA.Longitude_2	GGA.Longitude_1	GGA..North.or.South.	GGA.Latitude_2	GGA.Latitude_1	GGA.UTC.sec	GGA.Latitude	GGA.Antenna.Altitude.above.below.mean.sea.level..geoid.	GGA.Longitude	VTG.Speed..km.h.	VTG.Bearing	GGA.UTC.min	GGA.UTC.h	GAMMA.C	GAMMA.F	Gamma.OK	PS.OK	GPS.OK	Achse.1.U.FFT.Frq	Achse.1.U.PP	Achse.4.U.FFT.Frq	Achse.4.U.PP	Achse.5.U.FFT.Frq	Achse.5.U.PP	Achse.6.U.FFT.Frq	Achse.6.U.PP	Achse.0.U.FFT.Frq	Achse.0.U.P	Achse.0.U.PP	Achse.2.U.FFT.Frq	Achse.2.U.PP	Achse.0.I.FFT.Frq	Achse.3.U.FFT.Frq	Achse.3.U.PP	Achse.0.I.P	Achse.0.I.PP	Strecke.absolut	V	N	E	H	Kurs	Strecke.gesammt	X
31.01.2024	15:53:23.000	2.929357233	2.715200207	2.613447549	2.521816297	1.352991098	2.531646269	849.879264177	519.039258069	410.627044051	332.518870752	22.541930046	340.131041305	849.79911235	518.113506466	410.570124026	325.442005414	22.490072163	275.913467734	0.789709506	2755.261	18.84059906	13	722209856	20.954000473	52	2	52.349233341	36.103000641	13.314009984	7.179999828	19.799999237	24	14	2139408	856.669311523	0	1	1	190	4349.202176881	190	81.655387977	50	5.367398582	190	46.852233818	190	52.301767606	104.224032415	190	719.293994861	190	190	216.463221101	7.288754421	18.247963086	5035.422765421	7.179999828	52.349233341	13.314009984	36.103000641	19.799999237	4.384442171	NA
31.01.2024	15:53:24.000	3.043108783	2.787838502	2.748480835	2.671955868	1.357268767	2.651803894	1104.355205976	613.533812716	560.377687391	469.846361082	22.765058318	448.542804571	1104.353264391	596.52591668	556.50223825	445.902036255	22.245731785	348.06447658	0.785964456	2755.261	18.841199875	13	722209856	20.955099106	52	3	52.349251652	36.125	13.314019998	7.960000038	19.200000763	24	14	2140173	768.234863281	0	1	1	190	7497.832625975	190	121.74249421	50	5.820393909	2.5	83.69386695	190	52.274826305	104.197448742	190	1242.682411831	190	190	340.90580588	8.069277291	19.811094988	5035.424878585	7.960000038	52.349251652	13.314019998	36.125	19.200000763	4.386555334	NA
31.01.2024	15:53:25.000	3.129195617	3.04372473	2.967470606	2.818956302	0.883898075	2.684910488	1346.466699109	1105.922590765	927.834690141	659.107573591	7.654169496	484.072585985	1346.339231069	1102.867849246	927.782505354	653.459954829	6.68014868	349.711397367	0.766804486	2755.261	18.841899872	13	722209856	20.956199646	52	4	52.349269994	36.154998779	13.314031665	8.529999733	21.200000763	24	14	2140942	723.449401855	0	1	1	190	5430.475201039	190	134.924062188	50	4.950166044	190	62.674287717	190	52.298906583	104.22909881	190	1247.420981373	190	190	373.053572956	5.940795299	15.529395075	5035.427132566	8.529999733	52.349269994	13.314031665	36.154998779	21.200000763	4.388809316	NA
31.01.2024	15:53:26.000	3.092914739	3.150817187	2.994109779	2.877133935	1.123605956	2.821542157	1238.553408561	1415.197938072	986.528825227	753.587931792	13.292478173	663.043706028	1238.431198945	1414.889317335	983.381136437	738.791321211	-13.070882458	602.927332466	0.788378345	2755.261	18.842699051	13	722209856	20.957399368	52	5	52.349289989	36.185001373	13.314044984	8.159999847	20.600000381	24	14	2141748	856.924255371	0	1	1	190	4135.310896356	190	113.484270184	50	4.89652186	190	65.749887571	190	52.304151792	104.222542299	190	1429.930414553	190	190	351.491591423	4.976094066	13.535917612	5035.429485446	8.159999847	52.349289989	13.314044984	36.185001373	20.600000381	4.391162195	NA
31.01.2024	15:53:27.000	3.141073145	3.138710443	3.077684905	2.982250902	0.357516203	2.907064391	1383.799422206	1376.291548067	1195.872571087	959.955058797	2.277803223	807.354724608	1380.312484351	1367.052004942	1195.010094816	954.760541699	-0.690830085	768.979227021	0.811060159	2755.261	18.843399048	13	722209856	20.958499908	52	6	52.349308332	36.201999664	13.314056651	7.440000057	23.100000381	24	14	2142564	811.273986816	0	1	1	190	6572.381053709	190	189.769279347	50	5.209446264	190	91.820960749	190	52.305045861	104.23088695	190	1726.985080659	190	190	552.95232254	5.69820438	15.04898161	5035.43164139	7.440000057	52.349308332	13.314056651	36.201999664	23.100000381	4.393318139	NA
31.01.2024	15:53:28.000	3.161851223	3.109751186	3.170741361	3.121788208	1.296781531	3.007231367	1451.61425168	1287.511705437	1481.635453276	1323.695853466	19.805304816	1016.790236387	1449.995636523	1260.849627716	1469.655902289	1323.695765455	19.5505483	986.01865406	0.809682999	2755.261	18.844100952	13	722209856	20.959499359	52	7	52.349324989	36.22700119	13.314068349	7.800000191	21.5	24	14	2143370	866.980407715	0	1	1	190	5324.393828177	190	190.258037463	50	6.794929909	190	98.982459246	190	52.28156163	104.144281396	190	1088.723605199	190	190	594.612991489	4.878938489	13.422370757	5035.433768862	7.800000191	52.349324989	13.314068349	36.22700119	21.5	4.395445612	NA
31.01.2024	15:53:29.000	3.212496429	3.062503559	3.10095185	3.081611296	1.441604131	3.075003654	1631.159496614	1154.79144786	1261.68764449	1206.733297439	27.644206633	1188.512227074	1629.617190086	1108.173813795	1252.958557562	1202.399974207	26.904878647	1080.381185121	0.820566226	2755.261	18.844800949	13	722209856	20.960699081	52	8	52.349344985	36.256000519	13.314080016	8.489999771	20.200000763	24	14	2144203	895.847229004	0	1	1	190	5537.420841302	190	167.465219943	50	6.118417151	5	98.001962781	190	52.278342979	104.214078439	190	1266.524271162	190	190	395.968580006	4.89562779	13.406873548	5035.43599868	8.489999771	52.349344985	13.314080016	36.256000519	20.200000763	4.39767543	NA
31.01.2024	15:53:30.000	3.233808036	3.178091316	3.230971763	3.173928033	1.089275517	3.078426432	1713.19988087	1506.923882422	1702.047839883	1492.547060016	12.282181676	1197.916182573	1711.714375024	1490.668868298	1691.043883782	1492.055328923	11.820145508	1144.761167394	0.829285556	2755.261	18.845600128	13	722209856	20.961799622	52	9	52.349363327	36.28099823	13.314093335	8.079999924	22.899999619	24	14	2145026	834.651245117	0	1	1	190	6813.422251548	190	246.015205742	50	5.042553249	190	133.6932262	190	52.289727467	104.172772418	190	1722.708447141	190	190	582.048331621	5.233586146	14.049113634	5035.438301263	8.079999924	52.349363327	13.314093335	36.28099823	22.899999619	4.399978013	NA
31.01.2024	15:53:31.000	3.167845512	3.203667065	3.218613792	3.188935754	0.682672344	3.117908449	1471.788863004	1598.332258715	1654.298178697	1545.025865164	4.815843265	1311.923309812	1471.252520516	1585.654016954	1653.363230445	1542.957817249	3.750394964	1274.348358343	0.847404633	2755.261	18.846200943	13	722209856	20.962900162	52	10	52.349381669	36.312000275	13.314103349	7.309999943	20.700000763	24	14	2145901	826.304260254	0	1	1	190	4951.834973802	190	222.903503353	50	5.015731157	190	114.703185243	190	52.228155865	104.172474395	190	1269.489602416	190	190	507.161051462	5.024373831	13.707877022	5035.440458567	7.309999943	52.349381669	13.314103349	36.312000275	20.700000763	4.402135317	NA
31.01.2024	15:53:32.000	3.176865908	3.061672473	3.137669886	3.165853278	1.151994629	3.138255085	1502.677930163	1152.583700093	1372.9979423	1465.052805499	14.19039973	1374.849263008	1498.99137386	1113.428994349	1366.724775495	1464.798025476	13.662109674	1357.87433837	0.859841147	2755.261	18.84679985	13	722209856	20.963899612	52	11	52.349398327	36.321998596	13.314113331	7.059999943	20.899999619	24	14	2146749	1019.620422363	0	1	1	190	6558.388862514	190	237.289085227	50	6.484985738	190	135.90157842	190	52.285912769	104.221827043	190	1402.974212347	190	190	492.635398664	5.664229731	14.955402312	5035.442463202	7.059999943	52.349398327	13.314113331	36.321998596	20.899999619	4.404139952	NA
