"X";"Y";"H";"Rho1";"Rho2";"Rho3";"Rho4";"Rho5";"Rho6";"Gamma"
14.45146;52.36358;99.9;13;10;8;9;9;9;1.69
14.45143;52.36357;99.8;13;11;9;10;9;9;1.7
14.4514;52.36356;99.7;14;12;9;10;10;9;1.7
14.45136;52.36356;99.5;14;12;9;10;10;9;1.69
14.45133;52.36355;99.4;15;11;9;10;10;9;1.68
14.4513;52.36354;99.3;15;12;9;11;9;9;1.67
14.45127;52.36353;99.1;16;11;11;11;10;10;1.65
14.45124;52.36353;99.1;16;12;11;11;11;10;1.63
14.4512;52.36352;99.2;16;14;12;12;12;11;1.62
14.45117;52.36351;99.2;16;14;13;13;13;13;1.61
14.45114;52.36351;99.1;17;14;14;15;13;14;1.61
14.45111;52.3635;99.1;17;15;14;16;14;17;1.61
14.45107;52.3635;99;18;16;18;18;20;20;1.61
14.45104;52.36349;99;19;18;20;19;20;22;1.62
14.45101;52.36349;99.1;20;22;22;19;20;23;1.62
14.45098;52.3635;99.1;20;24;23;19;18;23;1.61
14.45095;52.36351;99.3;20;18;24;18;20;20;1.6
14.45093;52.36353;99.5;20;21;21;16;18;17;1.59
14.45091;52.36354;99.7;19;19;19;14;17;14;1.59
14.45091;52.36356;100;18;16;18;13;15;12;1.6
14.45091;52.36358;100.1;17;16;16;11;13;10;1.61
14.45093;52.3636;100.3;17;17;15;10;11;11;1.63
14.45096;52.36361;100.3;16;16;13;10;10;11;1.65
14.45099;52.36362;100.4;15;13;15;10;11;13;1.67
14.45102;52.36363;100.5;14;15;16;11;12;14;1.68
14.45105;52.36364;100.6;14;15;18;11;12;15;1.68
14.45109;52.36364;100.6;13;17;20;12;14;14;1.69
14.45112;52.36365;100.6;13;17;24;13;12;13;1.69
14.45115;52.36366;100.5;12;18;21;12;13;11;1.69
14.45119;52.36366;100.6;12;15;18;11;11;10;1.7
14.45123;52.36367;100.7;13;18;15;11;10;9;1.7
14.45126;52.36368;100.8;13;15;12;11;8;9;1.71
14.4513;52.36368;101;13;12;9;11;11;9;1.7
14.45133;52.36369;101.1;13;10;9;12;11;9;1.7
14.45136;52.3637;101.1;13;12;9;13;11;9;1.7
14.45139;52.36371;101.2;13;11;10;14;10;9;1.69
14.45143;52.36371;101.3;13;9;10;13;11;10;1.68
14.45146;52.36372;101.4;13;11;10;12;12;11;1.67
14.4515;52.36373;101.4;13;11;10;12;11;15;1.65
