E,N,H,Rho.1,Rho.2,Rho.3,Rho.4,Rho.6,Gamma
14.05658667,52.40292333,60.22499847,85.79552017,89.68068748,289.8008939,112.5875643,903.7397512,1.221273486
14.05662167,52.40294167,60.39300156,147.5032847,78.88947274,256.297757,177.1619396,1051.260825,1.231891
14.056655,52.40296001,60.53300095,98.81392075,70.76991332,205.9157661,118.3325002,917.5997814,1.228808792
14.05669,52.40298001,60.64899826,78.73035595,43.12338749,142.3581491,80.19005937,789.4125884,1.208202032
14.056725,52.40299832,60.75400162,59.33032069,42.62887081,41.66716042,50.68475703,153.0462006,1.254895563
14.05676,52.40301666,60.84899902,59.08378226,39.6717554,61.35093361,77.57455614,209.9805758,1.327179596
14.05679333,52.40303501,60.91699982,66.94941162,37.79470855,87.67942797,248.8490894,124.5378916,1.351856982
14.05682667,52.40305335,60.96500015,90.73575218,67.18152482,154.0343238,117.3600684,229.6073014,1.324688837
14.05686,52.40307166,60.97999954,74.25632818,54.83041078,72.01013083,91.02856455,384.6454156,1.318829144
14.056895,52.40309,60.93000031,57.17806533,51.30001104,117.4083812,65.89804277,201.4485637,1.316169611
14.05693,52.40310834,60.91199875,58.03018061,52.82644725,91.53836582,72.22194709,138.7570391,1.310219031
14.056965,52.40312665,60.88600159,64.74561429,76.45820856,120.2606635,10.50063782,356.0743407,1.309139355
14.057,52.403145,60.8409996,53.69791097,64.55991186,56.99874505,15.41509774,239.3156622,1.285730499
14.057035,52.40316499,60.78099823,62.73007944,49.27308018,83.6648366,67.57912193,133.8793159,1.315073962
14.05707,52.40318333,60.73699951,75.876702,52.39876688,69.95068515,83.14763566,129.4721475,1.333288922
14.057105,52.40320168,60.67599869,105.8072007,99.48551559,153.4159729,74.94286889,127.5871945,1.314086353
14.05713833,52.40321999,60.625,120.3168277,105.5869997,154.354871,59.85677443,368.9116108,1.303481812
14.05717167,52.40323833,60.58599854,121.7931422,117.2471182,221.0565026,140.0156571,501.8216037,1.265690808
14.05720667,52.40325667,60.53900147,119.7959006,117.2280316,229.6388057,283.8247837,474.7207954,1.285110474
14.05724167,52.40327501,60.48199844,122.1705278,121.6515197,293.8199449,80.86565784,680.2370617,1.291863922
14.05727667,52.40329332,60.45299912,160.5191812,148.8303083,258.0810662,341.1432811,971.5360158,1.246652197
14.05731334,52.40331332,60.41999817,201.4864983,283.3622795,431.474325,453.4030634,1313.873646,1.243412302
14.05734667,52.40333166,60.39699936,252.9028822,295.3099675,602.9128058,521.6732511,1752.887055,1.216718777
14.05738334,52.40335,60.38299942,263.6141973,352.3969513,408.566915,433.149514,1446.837222,1.196882367
14.05741833,52.40336835,60.37599945,265.0873583,326.1588489,434.3574793,318.4464873,1053.622092,1.16426207
14.05745333,52.403385,60.37599945,220.6247122,236.7840313,433.4545324,353.3219759,1198.372777,1.166132541
14.05748833,52.403405,60.39699936,213.392927,259.9262236,425.8923416,164.5245168,1088.255566,1.174966016
14.05752333,52.40342334,60.42399979,229.4795117,278.2616951,339.9008308,205.0175703,783.7697931,1.151050388
