E,N,H,Rho 1,Rho 2,Rho 3,Rho 4,Rho 5,Rho 6,Gamma,V,Kurs,Strecke gesammt,GWI
13.27038835,52.202215,43.89300156,495.3618397,460.9331758,407.0743098,268.0770247,1.272858578,263.4034047,0.895962033,13.18000031,26.5,0.294961301,0.180870217
13.27041168,52.202245,43.74599838,552.2018519,643.0476348,495.7969795,400.7102811,3.439790772,378.5511641,0.925806342,13.02999973,26.89999962,0.298548992,0.167657232
13.27043667,52.20227334,43.60599899,554.5162115,480.5119387,370.8928264,286.216407,1.474339076,270.9098142,0.954292087,13.13000011,26.79999924,0.302185144,0.172094533
13.27046,52.20230333,43.47499847,500.6208111,605.4427829,547.2514991,455.7776161,1.822856702,304.2667407,0.919840768,13.47999954,26.89999962,0.305929079,0.183740018
13.27048334,52.20233334,43.37599945,742.4768618,701.5958679,634.9416048,521.0329071,1.57434767,410.7800548,0.922574789,13.34000015,24.79999924,0.309659372,0.124256369
13.27050667,52.20236333,43.29800034,570.0450663,463.350494,399.9395808,350.0709111,1.415928369,339.4279937,0.934596286,13.01000023,24.5,0.313266907,0.163951298
13.27052835,52.20239334,43.22999954,588.134077,446.2617981,365.2574152,305.1699405,1.302123091,259.7880332,0.916465695,12.89000034,23.29999924,0.316856758,0.155825981
13.27055168,52.20242167,43.1609993,525.6057221,516.2820047,463.6388868,360.4744744,0.761187156,275.5769447,0.900635391,13.01000023,25.60000038,0.320458499,0.1713519
13.27057333,52.20245167,43.1269989,516.2501349,489.4340573,462.8589388,397.0616345,1.368161243,310.5603968,0.910741769,12.85000038,26.5,0.324052798,0.176414824
13.27059666,52.20248,43.08200073,492.0553375,498.9683527,437.1855471,388.4159127,0.319534853,305.8614341,0.91308093,13.10999966,26.89999962,0.327663805,0.185564684
13.27062168,52.20251001,43.04800034,426.2760473,425.9569608,368.3611901,309.364325,0.71198104,224.996044,0.927977841,13.07999992,27.60000038,0.331334279,0.217694109
13.27064501,52.20253833,43.01200104,451.8470168,376.1026857,304.9137149,236.983235,2.484175378,187.1309316,0.955964093,13,27.10000038,0.335124363,0.211568088
13.27066835,52.20256834,42.99700165,509.6194914,450.9601438,342.9809708,240.4782503,0.483070963,150.8992972,0.927676556,13.5,26.79999924,0.338591652,0.182033178
13.27069333,52.20259833,42.9659996,534.2919499,464.8281775,323.6036948,280.0126238,0.573204249,186.3688473,0.906921011,13.76000023,26.29999924,0.342383234,0.169742593
13.27071832,52.20262833,42.94900131,468.552588,325.4036444,233.534468,182.8881504,2.698107178,171.1721299,0.929833408,13.81000042,27.89999962,0.346218068,0.198448036
13.27074334,52.20265834,42.91400147,367.9836774,338.5419394,244.6558657,168.6663649,1.648237022,184.709581,0.961335855,13.06000042,26.20000076,0.349997319,0.261244157
13.27076667,52.20268833,42.90299988,507.0050797,279.7349169,167.2437037,222.6140783,5.35678639,434.5974447,0.943493567,13.06000042,26.70000076,0.349997319,0.186091541
13.27079001,52.20271834,42.87400055,454.2157338,323.2966494,254.4867108,355.5063619,1.450905548,239.7459083,0.941656674,13.18999958,26.79999924,0.357233445,0.207314852
13.27081334,52.20274666,42.86100006,354.6332666,175.0357769,125.254068,130.3571566,4.223359016,185.5291815,0.992269791,13.15999985,24.89999962,0.360927963,0.279801667
13.27083667,52.20277667,42.83399963,425.2111203,274.9854239,191.8273252,158.0968644,2.028259031,192.5467715,0.975850873,13.14999962,26,0.364550876,0.229497966
13.27086,52.20280666,42.7820015,288.9694282,289.7134568,232.0391061,131.9753642,0.464593639,140.0943449,0.934250964,13.14000034,25.29999924,0.368198033,0.32330443
13.27088334,52.202835,42.72499847,451.2260614,389.8594396,261.3625228,171.9359667,0.356545885,224.403196,0.933282202,13.15999985,24.79999924,0.371856009,0.206832513
13.27090667,52.202865,42.66600037,418.7859777,684.9059422,260.8102564,284.3837904,0.523219356,321.6961994,0.967136288,13.10000038,25.60000038,0.375499277,0.230938078
13.27093,52.20289334,42.62900162,392.4098626,335.77254,268.1818591,298.9977617,2.431442489,181.0349587,0.954931119,13.05000019,26,0.37913181,0.243350438
13.27095334,52.202925,42.56800079,405.2201768,321.337221,280.1942752,222.633074,2.085598625,190.9626304,0.925837579,13.84000015,27.5,0.382874786,0.22847766
13.27097832,52.20295666,42.48500061,552.8270776,409.0535125,306.6538632,235.3212853,1.623066672,209.999864,0.919232764,14.25,25.20000076,0.386765325,0.166278535
13.27100334,52.20298667,42.40399933,480.3041841,336.470609,227.4560149,188.8308224,2.433765111,183.0927959,0.942902448,13.71000004,26.20000076,0.390730814,0.196313603
13.27102833,52.20301833,42.31000137,336.0449486,203.5103013,151.0054148,8.681175342,8.138597411,390.9578861,0.986222314,13.71000004,26.29999924,0.390730814,0.293479285
